username,id,NamaProduk,Harga,Jumlah,hargaTotal,tanggal
r,2,Agroseed,50000,1,50000,27-11-2025
r,1,Tumbuhprima,50000,60,3000000,27-11-2025
r,2,Agroseed,50000,1,50000,27-11-2025
r,2,Agroseed,50000,1,50000,27-11-2025
r,2,Agroseed,50000,1,50000,27-11-2025
r,1,Tumbuhprima,50000,1,50000,27-11-2025
r,1,Tumbuhprima,50000,1,50000,27-11-2025
r,1,Tumbuhprima,50000,1,50000,27-11-2025
nei,8,Agrogrow,200000,90,18000000,27-11-2025
nei,8,Agrogrow,200000,90,18000000,27-11-2025
nei,2,Agroseed,50000,10,500000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
nei,10,Greenboost,125000,10,1250000,27-11-2025
