id,NamaProduk,Kategori,Harga,Stok,Subsidi
1,Kandang,Pupuk,20000,0,Ya
2,Organik,Pupuk,80000,50,Ya
3,Kandang,Pupuk,20000,71,Ya
4,Organik,Pupuk,80000,70,Ya
5,Kandang,Pupuk,20000,90,Ya
6,Organik,Pupuk,80000,80,Ya
7,Kandang,Pupuk,20000,90,Ya
8,Organik,Pupuk,80000,80,Ya
9,Kandang,Pupuk,20000,80,Ya
10,Organik,Pupuk,80000,10,Ya
11,Kandang,Pupuk,20000,90,Ya
12,Organik,Pupuk,80000,80,Ya
13,Kandang,Pupuk,20000,90,Ya
14,Organik,Pupuk,80000,80,Ya
15,Kandang,Pupuk,20000,75,Ya
16,Organik,Pupuk,80000,80,Ya
17,Kandang,Pupuk,20000,90,Ya
18,Organik,Pupuk,80000,41,Ya
19,Kandang,Pupuk,20000,90,Ya
20,Organik,Pupuk,80000,80,Ya
21,Kandang,Pupuk,20000,90,Ya
22,Organik,Pupuk,80000,80,Ya
23,Kandang,Pupuk,20000,90,Ya
24,Organik,Pupuk,80000,80,Ya
25,Kandang,Pupuk,20000,80,Ya
26,Organik,Pupuk,80000,0,Ya
